"","SCE_Cab","SCE_Cw","SCE_LAI","SCE_Cm","SCE_Car","ann_neon_Cab","ann_neon_Car","ann_neon_Cw","ann_neon_Cm","ann_neon_LAI","B02","B03","B04","B05","B06","B07","B8A","B11","B12","ARVI","BIOM","CHM","EVI","fPAR","LAI","MSI","NDII","NDLI","NDNI","NDVI","NDWI","NDMI","PRI","SAVI","WBI","coords.x1","coords.x2"
"1",31.5813289375617,0.0299998996349015,0.767525639219677,0.0299999219522483,49.9991449713579,-3.44547847385346,20.2979000507188,0.00226852613455212,0.00763448176618927,1.9536660775999,0.0484,0.0849,0.0706,0.1473,0.2826,0.3107,0.3384,0.2829,0.1645,0.572881698608398,20.2306690216064,0,0.455558657646179,0.373495012521744,1.23718667030334,0.822805166244507,0.0480684079229832,0.0432427264750004,0.153272479772568,0.689153492450714,-0.066803552210331,0.400301843881607,-0.0680828914046288,0.447782814502716,0.995861053466797,628450,3693970
"2",33.2216153424673,0.0299999992122693,0.733754840189816,0.0299906773237287,49.939423901854,-4.27811716117628,21.1375218548448,-6.65831009375728e-05,0.00787833718175703,1.82630302624846,0.0485,0.0828,0.0709,0.1437,0.2757,0.3034,0.3361,0.2888,0.1674,0.555448353290558,19.8002624511719,0,0.438657492399216,0.358224987983704,1.16929543018341,0.885841012001038,0.011119888164103,0.0441916026175022,0.151786491274834,0.674544274806976,-0.0851364284753799,0.366675287485123,-0.0675552859902382,0.432603091001511,0.989438652992249,628370,3693770
"3",31.9390868526863,0.0299999976634557,1.03812583872846,0.0100000131219507,13.082743517973,3.36363751751176,16.5026754936048,0.0131923679157092,0.00663274595492635,2.57814261671672,0.0384,0.0803,0.051,0.1324,0.3,0.3438,0.3682,0.2317,0.1222,0.697972178459167,22.9885997772217,0,0.560763657093048,0.465315014123917,1.68934655189514,0.584907531738281,0.205604806542397,0.0524400286376476,0.170873284339905,0.78357344865799,-0.00178643618710339,0.478568196296692,-0.0645479932427406,0.535801529884338,1.04336941242218,629090,3691870
"6",31.8422093269341,0.0299999999402233,0.83694573358044,0.0299844052684355,10.9497283265379,-1.89970147831751,18.8526972768768,0.00751136750562365,0.00698814538375048,2.18111386476884,0.0478,0.0817,0.0654,0.1376,0.2613,0.2918,0.3209,0.2494,0.1415,0.556920349597931,19.8901252746582,0,0.430483490228653,0.35003000497818,1.15167260169983,0.826183497905731,0.0453819707036018,0.0468173325061798,0.157667309045792,0.6772141456604,-0.0681473687291145,0.39101454615593,-0.0702881142497063,0.426955491304398,1.01050388813019,627150,3694930
"7",30.9814034291422,0.0299999999634003,0.995436493534361,0.0100000021845975,12.739779355829,2.62089293929045,19.003119560703,0.0132228533450896,0.0065746528615011,2.56798198882363,0.0386,0.0789,0.0532,0.134,0.2943,0.3298,0.3617,0.2331,0.1241,0.67158043384552,22.475944519043,0,0.529351353645325,0.438905000686646,1.55510127544403,0.621204614639282,0.177621215581894,0.051131758838892,0.166818246245384,0.766168892383575,-0.01640859618783,0.467775166034698,-0.0670449212193489,0.512129247188568,1.03655660152435,629090,3691850
"8",34.8878147209345,0.0299999877324071,0.929898547405536,0.0299999708192435,24.3631169374266,1.08822517166895,17.2754774374854,0.0101669801253356,0.00683526254577607,2.36947347736088,0.0428,0.0799,0.0593,0.1327,0.2772,0.3085,0.3362,0.2436,0.1349,0.597065031528473,20.6990852355957,0,0.472499281167984,0.385252505540848,1.29338848590851,0.754918694496155,0.0854679718613625,0.048615850508213,0.160793676972389,0.704666435718536,-0.0471086949110031,0.415527582168579,-0.0635044798254967,0.460292190313339,1.02198159694672,627030,3694850
"9",32.6973475077322,0.029999999060232,0.887963565443861,0.029999980850843,11.5017766156785,-0.0370085008761656,16.7766653378466,0.00852046157926529,0.00693164344350627,2.23403586583597,0.0443,0.0807,0.0616,0.1311,0.2584,0.2948,0.313,0.2372,0.1323,0.583260059356689,20.5167827606201,0,0.44123500585556,0.35970750451088,1.19456684589386,0.755325138568878,0.0856153592467308,0.0473229549825191,0.157616004347801,0.698480069637299,-0.052646990865469,0.409181863069534,-0.0698512196540833,0.437375605106354,1.01938104629517,627150,3694890
"10",26.830082361388,0.0299999984840972,0.626414497430305,0.0128476799334824,49.9999615198004,-6.50719522388316,23.9105620560307,0.000171610818110849,0.00743326711993032,1.67639982269191,0.0424,0.0784,0.0712,0.1405,0.2498,0.2819,0.3118,0.2772,0.1692,0.533040702342987,19.6150226593018,0,0.414802998304367,0.343707501888275,1.11399042606354,0.880264580249786,0.0154697289690375,0.0406051203608513,0.146108195185661,0.668612718582153,-0.0815986171364784,0.404059261083603,-0.0847067683935165,0.419528037309647,0.991417288780212,628810,3692050
"11",28.0501187025673,0.0299999999414581,0.889522179514661,0.0100000032413448,38.3225195366379,0.657479481906677,21.3546921918965,0.0110393682524274,0.00675388996105407,2.46777843859279,0.0431,0.0828,0.0624,0.15,0.312,0.3406,0.3699,0.2608,0.1475,0.640842795372009,21.8132877349854,0,0.530712902545929,0.441464990377426,1.56321203708649,0.655130386352539,0.159533202648163,0.0493679828941822,0.163422971963882,0.743656754493713,-0.0170444417744875,0.470781326293945,-0.0724952518939972,0.512120842933655,1.03263974189758,628790,3691690
"12",33.4407219759102,0.0299999997971173,0.83266060993871,0.0299861770814098,18.9971510576703,-0.527742585170678,17.2015363402673,0.00654340997093208,0.00718536653259617,2.1557935157132,0.044,0.0811,0.0616,0.1331,0.2659,0.2925,0.3207,0.2532,0.143,0.576044082641602,20.3811626434326,0,0.439496099948883,0.359377503395081,1.19042003154755,0.814708113670349,0.0514136888086796,0.0470860414206982,0.156905427575111,0.693503260612488,-0.0671189501881599,0.393274992704391,-0.0700998231768608,0.436049580574036,1.0102162361145,627170,3695010
