"","X","SCE_Cab","SCE_Cw","SCE_LAI","SCE_Cm","SCE_Car","ann_neon_Cab","ann_neon_Car","ann_neon_Cw","ann_neon_Cm","ann_neon_LAI","B02","B03","B04","B05","B06","B07","B8A","B11","B12","ARVI","BIOM","CHM","EVI","fPAR","LAI","MSI","NDII","NDLI","NDNI","NDVI","NDWI","NDMI","PRI","SAVI","WBI","coords.x1","coords.x2","ESA_LAI","LAI_flag","ESA_LAI_cab","ESA_LAI_cab_flag","ESA_LAI_car","ESA_LAI_car_flag","ESA_fapar","ESA_fapar_flag","ESA_fcover","ESA_fcover_flag","ann2_Cab","ann2_Car","ann2_Cw","ann2_Cm","ann2_LAI"
"1",1,31.5813289375617,0.0299998996349015,0.767525639219677,0.0299999219522483,49.9991449713579,-3.44547847385346,20.2979000507188,0.00226852613455212,0.00763448176618927,1.9536660775999,0.0484,0.0849,0.0706,0.1473,0.2826,0.3107,0.3384,0.2829,0.1645,0.572881698608398,20.2306690216064,0,0.455558657646179,0.373495012521744,1.23718667030334,0.822805166244507,0.0480684079229832,0.0432427264750004,0.153272479772568,0.689153492450714,-0.066803552210331,0.400301843881607,-0.0680828914046288,0.447782814502716,0.995861053466797,628450,3693970,0.918431758880615,0,45.2006912231445,0,0.0174138844013214,0,0.454485267400742,0,0.45651587843895,0,16.7435328015153,-2.78838001987942,0.0140405543567182,-0.0069240628137085,2.21507728122234
"2",2,33.2216153424673,0.0299999992122693,0.733754840189816,0.0299906773237287,49.939423901854,-4.27811716117628,21.1375218548448,-6.65831009375728e-05,0.00787833718175703,1.82630302624846,0.0485,0.0828,0.0709,0.1437,0.2757,0.3034,0.3361,0.2888,0.1674,0.555448353290558,19.8002624511719,0,0.438657492399216,0.358224987983704,1.16929543018341,0.885841012001038,0.011119888164103,0.0441916026175022,0.151786491274834,0.674544274806976,-0.0851364284753799,0.366675287485123,-0.0675552859902382,0.432603091001511,0.989438652992249,628370,3693770,0.909863173961639,0,45.9621353149414,0,0.0165416412055492,0,0.446418464183807,0,0.445186495780945,0,18.3574827103949,-3.7422343852759,0.0108430588399531,-0.0051996135600439,2.21227587401464
"3",3,31.9390868526863,0.0299999976634557,1.03812583872846,0.0100000131219507,13.082743517973,3.36363751751176,16.5026754936048,0.0131923679157092,0.00663274595492635,2.57814261671672,0.0384,0.0803,0.051,0.1324,0.3,0.3438,0.3682,0.2317,0.1222,0.697972178459167,22.9885997772217,0,0.560763657093048,0.465315014123917,1.68934655189514,0.584907531738281,0.205604806542397,0.0524400286376476,0.170873284339905,0.78357344865799,-0.00178643618710339,0.478568196296692,-0.0645479932427406,0.535801529884338,1.04336941242218,629090,3691870,1.47853815555573,0,68.9480819702148,0,0.0310519076883793,0,0.58763200044632,0,0.61262321472168,0,13.5191467817813,4.48436501934559,0.0275431313912039,-0.0112873256580473,2.34962161861406
"4",6,31.8422093269341,0.0299999999402233,0.83694573358044,0.0299844052684355,10.9497283265379,-1.89970147831751,18.8526972768768,0.00751136750562365,0.00698814538375048,2.18111386476884,0.0478,0.0817,0.0654,0.1376,0.2613,0.2918,0.3209,0.2494,0.1415,0.556920349597931,19.8901252746582,0,0.430483490228653,0.35003000497818,1.15167260169983,0.826183497905731,0.0453819707036018,0.0468173325061798,0.157667309045792,0.6772141456604,-0.0681473687291145,0.39101454615593,-0.0702881142497063,0.426955491304398,1.01050388813019,627150,3694930,1.04146182537079,0,48.1238822937012,0,0.0229594074189663,0,0.470394879579544,0,0.469464659690857,0,14.3936287670032,1.96564128257121,0.0262503229479807,-0.0124595434524309,2.23981192421344
"5",7,30.9814034291422,0.0299999999634003,0.995436493534361,0.0100000021845975,12.739779355829,2.62089293929045,19.003119560703,0.0132228533450896,0.0065746528615011,2.56798198882363,0.0386,0.0789,0.0532,0.134,0.2943,0.3298,0.3617,0.2331,0.1241,0.67158043384552,22.475944519043,0,0.529351353645325,0.438905000686646,1.55510127544403,0.621204614639282,0.177621215581894,0.051131758838892,0.166818246245384,0.766168892383575,-0.01640859618783,0.467775166034698,-0.0670449212193489,0.512129247188568,1.03655660152435,629090,3691850,1.40684521198273,0,64.2228927612305,0,0.0299480445683002,0,0.569289982318878,0,0.591953992843628,0,14.1980583680645,4.25857472866376,0.0292174397015198,-0.0124773232416241,2.31753972695465
"6",8,34.8878147209345,0.0299999877324071,0.929898547405536,0.0299999708192435,24.3631169374266,1.08822517166895,17.2754774374854,0.0101669801253356,0.00683526254577607,2.36947347736088,0.0428,0.0799,0.0593,0.1327,0.2772,0.3085,0.3362,0.2436,0.1349,0.597065031528473,20.6990852355957,0,0.472499281167984,0.385252505540848,1.29338848590851,0.754918694496155,0.0854679718613625,0.048615850508213,0.160793676972389,0.704666435718536,-0.0471086949110031,0.415527582168579,-0.0635044798254967,0.460292190313339,1.02198159694672,627030,3694850,1.18724405765533,0,55.6750106811523,0,0.0251792389899492,0,0.512885868549347,0,0.521278917789459,0,16.0711468764981,1.93477187469265,0.0261708908961942,-0.0117724531160836,2.27932946772524
"7",9,32.6973475077322,0.029999999060232,0.887963565443861,0.029999980850843,11.5017766156785,-0.0370085008761656,16.7766653378466,0.00852046157926529,0.00693164344350627,2.23403586583597,0.0443,0.0807,0.0616,0.1311,0.2584,0.2948,0.313,0.2372,0.1323,0.583260059356689,20.5167827606201,0,0.44123500585556,0.35970750451088,1.19456684589386,0.755325138568878,0.0856153592467308,0.0473229549825191,0.157616004347801,0.698480069637299,-0.052646990865469,0.409181863069534,-0.0698512196540833,0.437375605106354,1.01938104629517,627150,3694890,1.10807192325592,0,51.220573425293,0,0.0249591115862131,0,0.485525518655777,0,0.483154296875,0,14.8085133979248,1.46629673280182,0.0236780139327913,-0.010392043529674,2.21909036702983
"8",10,26.830082361388,0.0299999984840972,0.626414497430305,0.0128476799334824,49.9999615198004,-6.50719522388316,23.9105620560307,0.000171610818110849,0.00743326711993032,1.67639982269191,0.0424,0.0784,0.0712,0.1405,0.2498,0.2819,0.3118,0.2772,0.1692,0.533040702342987,19.6150226593018,0,0.414802998304367,0.343707501888275,1.11399042606354,0.880264580249786,0.0154697289690375,0.0406051203608513,0.146108195185661,0.668612718582153,-0.0815986171364784,0.404059261083603,-0.0847067683935165,0.419528037309647,0.991417288780212,628810,3692050,0.861801505088806,0,43.3771286010742,0,0.0172946248203516,0,0.416733801364899,0,0.399072378873825,0,13.2951116971975,-1.36670952924162,0.0265182060681811,-0.015614607842998,2.05076741221196
"9",11,28.0501187025673,0.0299999999414581,0.889522179514661,0.0100000032413448,38.3225195366379,0.657479481906677,21.3546921918965,0.0110393682524274,0.00675388996105407,2.46777843859279,0.0431,0.0828,0.0624,0.15,0.312,0.3406,0.3699,0.2608,0.1475,0.640842795372009,21.8132877349854,0,0.530712902545929,0.441464990377426,1.56321203708649,0.655130386352539,0.159533202648163,0.0493679828941822,0.163422971963882,0.743656754493713,-0.0170444417744875,0.470781326293945,-0.0724952518939972,0.512120842933655,1.03263974189758,628790,3691690,1.15431702136993,0,53.8241920471191,0,0.023178668692708,0,0.529206991195679,0,0.548501908779144,0,14.769522546428,2.56617546596129,0.0289445637857677,-0.013894877424523,2.33916321277852
"10",12,33.4407219759102,0.0299999997971173,0.83266060993871,0.0299861770814098,18.9971510576703,-0.527742585170678,17.2015363402673,0.00654340997093208,0.00718536653259617,2.1557935157132,0.044,0.0811,0.0616,0.1331,0.2659,0.2925,0.3207,0.2532,0.143,0.576044082641602,20.3811626434326,0,0.439496099948883,0.359377503395081,1.19042003154755,0.814708113670349,0.0514136888086796,0.0470860414206982,0.156905427575111,0.693503260612488,-0.0671189501881599,0.393274992704391,-0.0700998231768608,0.436049580574036,1.0102162361145,627170,3695010,1.05891394615173,0,49.5558929443359,0,0.0217434167861938,0,0.473306685686111,0,0.477291762828827,0,16.3621864435101,-0.337462776864488,0.0206662212400029,-0.00952523104503626,2.22282354344367
"11",14,24.4894930038764,0.0299791773049543,0.587716191847995,0.0299999993472553,49.6706590093157,-10.8217783214318,16.2037735007556,-0.00574143664080438,0.00806684247769101,0.616081610346182,0.0538,0.0898,0.0823,0.1453,0.2421,0.2682,0.2946,0.2941,0.1756,0.488620579242706,18.3396453857422,0,0.378094226121902,0.305260002613068,0.963883817195892,0.938457250595093,-0.0198442712426186,0.0437591560184956,0.150755614042282,0.625967979431152,-0.0979743525385857,0.337919861078262,-0.0744958594441414,0.382133662700653,0.984800219535828,631810,3690590,0.702045381069183,0,34.8221473693848,0,0.0138810053467751,0,0.351866900920868,0,0.340501070022583,0,17.6980744212638,-1.83770363042909,0.00840510758845232,0.00239981555747741,1.8286579963645
"12",15,28.2301474151649,0.0299999520003394,0.73060329611474,0.0100000007655669,49.9999947570344,-2.79265259794103,19.6964650997879,0.00497764041727159,0.00730512796784899,2.08647160173013,0.0457,0.0842,0.0693,0.1461,0.2876,0.3216,0.3507,0.282,0.1659,0.587149202823639,20.7993545532227,0,0.462214022874832,0.385737508535385,1.29484522342682,0.797954142093658,0.0659225210547447,0.0438985638320446,0.152697533369064,0.708832859992981,-0.0621703006327152,0.429416626691818,-0.0839338824152946,0.459728568792343,1.0057145357132,628930,3692050,0.98083370923996,0,49.7823104858398,0,0.0185144133865833,0,0.47858527302742,0,0.478686690330505,0,15.6663790883462,-0.952231541318582,0.0234754553226181,-0.0121813273679509,2.237671605553
"13",16,32.8918902047373,0.0299999994965417,0.968028660266971,0.0100000212485789,13.9852537507864,3.7302053832958,18.135477597705,0.0122624737513943,0.00665756610884931,2.49498969423157,0.0374,0.0733,0.0492,0.1256,0.2831,0.3193,0.3419,0.2299,0.1235,0.673010051250458,22.4565372467041,0,0.50875997543335,0.421095013618469,1.46325075626373,0.677289009094238,0.138410151004791,0.049682404845953,0.16510808467865,0.764256536960602,-0.0257922634482384,0.44663080573082,-0.0643807724118233,0.493765830993652,1.03205847740173,627110,3694930,1.38035976886749,0,64.6477355957031,0,0.0285348575562239,0,0.553969204425812,0,0.568214654922485,0,16.4076866544084,2.9851742372638,0.0268425953726305,-0.0111670935251794,2.28532497439303
"14",19,30.0840099889342,0.0299999950557296,0.739800031414106,0.0299977634459771,49.9984459973693,-5.04938462032316,21.0266086981315,-2.49625107911697e-06,0.00786897174711716,1.83218442497258,0.0509,0.0887,0.0736,0.155,0.2828,0.3135,0.3465,0.2948,0.1717,0.551873803138733,19.7847671508789,0,0.445604383945465,0.364140003919601,1.19816529750824,0.876247644424438,0.0191388726234436,0.0432779043912888,0.151923283934593,0.673655033111572,-0.083883598446846,0.383415132761002,-0.073530986905098,0.439385026693344,0.981543779373169,628410,3694090,0.874100267887115,0,42.5799713134766,0,0.0161616634577513,0,0.444514095783234,0,0.449917614459991,0,13.6670718112527,-1.1306652157129,0.0136487822679695,-0.00649343297904753,2.24819628230416
"15",21,27.9630881649918,0.0299999993249599,0.760879535262643,0.0299999991036691,49.9999948954421,-4.4895448168596,21.0195227152184,0.00115600116593742,0.00778182772783952,1.91234009948613,0.052,0.0922,0.0778,0.1611,0.291,0.32,0.3505,0.2937,0.1703,0.547982513904572,19.6931629180908,0,0.450956106185913,0.368942499160767,1.21598589420319,0.826656877994537,0.0461036749184132,0.0428758300840855,0.154278680682182,0.67054694890976,-0.0698537603020668,0.400984078645706,-0.0750287026166916,0.443522155284882,0.988106489181519,628470,3694090,0.850314497947693,0,40.4010200500488,0,0.0164514109492302,0,0.443327277898788,0,0.450479507446289,0,13.3377907960981,-0.673544517921087,0.0132399585318477,-0.00607766136402287,2.26730633202002
"16",22,25.8515666663801,0.0299999999809406,0.811757992757909,0.0100000012967306,10.01909739486,-1.37155081426961,20.7298614492955,0.00845316900979311,0.00695990813522329,2.28716439536703,0.0477,0.0854,0.0682,0.1511,0.2878,0.3162,0.3432,0.2588,0.1474,0.56005996465683,20.0021743774414,0,0.453752905130386,0.370395004749298,1.2371666431427,0.762966573238373,0.0854374840855598,0.0468906052410603,0.154481261968613,0.682132422924042,-0.051957119256258,0.427196204662323,-0.0699182599782944,0.447738975286484,1.01523458957672,628790,3691630,1.01130044460297,0,46.3774604797363,0,0.0220243204385042,0,0.4819096326828,0,0.49152484536171,0,13.2763955378589,2.53526199349595,0.0260630049813369,-0.0124313202565626,2.29690530158554
