"","kf_th","Model","variable","Slpe","Inte","Rsqr","MAE","MAPE","SMAPE","MSE","RMSE"
"1",1,"mRF","Cab",0.960910592589159,1.70012008930125,0.993544287607838,1.45357320416171,0.0407498186344184,0.0422021931339645,4.16603285388722,2.04108619462462
"2",1,"mRF","Car",0.400098366478276,16.4894584344222,0.776046294768186,2.15095903298595,0.0821527453273571,0.0810244209280633,7.69910614582602,2.77472631908555
"3",1,"mRF","Cw",0.417278318417321,0.00995026847677911,0.71790730999611,0.00156755175631275,0.0948934346320866,0.093208415147662,3.62777988583398e-06,0.0019046731703455
"4",1,"mRF","Cm",0.651268801272987,0.00602936664003095,0.762308235638746,0.00211926321789944,0.133857707439136,0.131614894014997,6.66981738980516e-06,0.0025825989603121
"5",1,"mRF","LAI",0.571968265235129,2.23873391411085,0.628575051510818,0.947237733912433,0.311629611815481,0.240571701283971,1.22844469527713,1.1083522433221
"6",2,"mRF","Cab",0.94734679055261,2.52274386501467,0.992952368351387,1.68264155123263,0.0493566414920545,0.0508091279746297,4.96202030621361,2.22755927108879
"7",2,"mRF","Car",0.34438552635842,17.6712624762037,0.704400629797903,2.30060288012389,0.0883299586605395,0.0861724139718115,9.21717846664068,3.03598064332444
"8",2,"mRF","Cw",0.408810095817127,0.0102716046099649,0.684923912266184,0.00164850859378542,0.10094834006742,0.0987385403088439,3.99654654762063e-06,0.00199913645047571
"9",2,"mRF","Cm",0.591387793517906,0.00683493925968428,0.756348115331455,0.00198650571621122,0.125762361686254,0.123605303004353,6.05282178553259e-06,0.00246024831785992
"10",2,"mRF","LAI",0.599058480456192,2.03302318145063,0.641238733764168,0.979461783295411,0.321962427980525,0.253543198549486,1.30329320111326,1.14161867587792
"11",3,"mRF","Cab",0.962777131986817,1.80185455097072,0.994189078678958,1.46783459043174,0.040544966187882,0.0412224373107111,3.93123138296304,1.98273331110441
"12",3,"mRF","Car",0.399756466297359,16.2889731921402,0.737663260588568,2.37103800777607,0.0900324409840168,0.088722698954271,8.9600316399392,2.99333119449539
"13",3,"mRF","Cw",0.439618209599581,0.00985488778530494,0.670887655826968,0.00177499892398863,0.106017772315883,0.103426988463213,4.62257210768741e-06,0.00215001676916423
"14",3,"mRF","Cm",0.63096297243337,0.00611187215411843,0.79979650039403,0.00184747563514568,0.119533517370784,0.11806260584035,5.32465250960655e-06,0.00230752085789198
"15",3,"mRF","LAI",0.531293004796963,2.21610386440179,0.640892950812168,0.882602008275104,0.293892289900665,0.228707854513435,1.12797441798947,1.06206140029165
"16",4,"mRF","Cab",0.954520487534327,1.88625780311961,0.994095293864645,1.54560237642038,0.0414798167248341,0.0422774880148303,4.37755096134826,2.0922597738685
"17",4,"mRF","Car",0.395043988730579,16.6510767999094,0.697052285422746,2.50596101727566,0.0970057819818296,0.0945413545734146,10.8893501597322,3.29990153788445
"18",4,"mRF","Cw",0.39372417753547,0.0104625147466422,0.680995254568209,0.00169120058612033,0.101330306845809,0.0992608582265841,4.05505147034833e-06,0.00201371583654406
"19",4,"mRF","Cm",0.624302913697984,0.0063025529655746,0.780454189037995,0.00194070693659933,0.124916785253466,0.123038610228872,5.73116003306078e-06,0.00239398413383648
"20",4,"mRF","LAI",0.563908482442238,2.18440807852991,0.64790598279507,0.920232861228177,0.318159796218793,0.240921358637269,1.20073253065159,1.09577941696839
"21",5,"mRF","Cab",0.961445434269411,1.63929777542242,0.994121362827082,1.53356784550845,0.036108690022654,0.0362585069098261,4.0700294576351,2.0174314009738
"22",5,"mRF","Car",0.387668072116566,16.2708448009041,0.69289975695145,2.66628795450519,0.102805060505711,0.100158579355615,11.5177589560489,3.39378239668499
"23",5,"mRF","Cw",0.40574898177012,0.0105035650448176,0.670022939084258,0.00160975911662279,0.0963355260179118,0.0949442618275908,4.01663705032069e-06,0.00200415494668468
"24",5,"mRF","Cm",0.650992104334021,0.00585796473096125,0.798867985838399,0.00183793616807442,0.119859291599814,0.117832073215547,5.36477592277214e-06,0.00231619859312023
"25",5,"mRF","LAI",0.595832964282577,2.01282265983556,0.669173336592665,0.919425381959561,0.311653618984534,0.240331409687013,1.17523474021079,1.0840824416117
