"","kf_th","Model","variable","Slpe","Inte","Rsqr","MAE","MAPE","SMAPE","MSE","RMSE"
"1",1,"mRF","Cab",0.883590572281751,5.13569127918408,0.984060616869056,2.75770922151523,0.0702903693523922,0.0713223137842498,10.7611885348123,3.28042505398497
"2",1,"mRF","Car",0.292514907672752,18.8920714180728,0.570836287783649,2.37366748252419,0.0909456399810682,0.0887924826160768,9.41546853052632,3.06846354557559
"3",1,"mRF","Cw",0.425330490413387,0.00990269261104354,0.625470504386698,0.00194940804563368,0.117758290645174,0.114415203897473,5.5144441057332e-06,0.0023482853544093
"4",1,"mRF","Cm",0.605402379954245,0.0065540049484614,0.744793834477606,0.00188840283674286,0.119778213280867,0.117466382836279,5.96725881566268e-06,0.00244279733413615
"5",1,"mRF","LAI",0.54118452142047,2.26546670177458,0.68593532527594,0.761802791738857,0.209471238253534,0.18181578286868,0.854292176336974,0.924279273995135
"6",2,"mRF","Cab",0.859406954940427,6.69223463457092,0.980193855613492,2.90878908497893,0.0743995452724656,0.0742247155095701,13.1145089127106,3.62139598949226
"7",2,"mRF","Car",0.25339635085161,20.2121924949028,0.553246896689987,2.46320582309523,0.0938590328969694,0.0916756787295215,9.23774590158505,3.03936603613073
"8",2,"mRF","Cw",0.435534034724961,0.0101019099634546,0.647489494353535,0.00198322685091052,0.117820781152463,0.115226201392409,5.45850791353494e-06,0.00233634499026469
"9",2,"mRF","Cm",0.531668497700177,0.00796242758150613,0.766084557482128,0.00170644823493093,0.106653186929029,0.104121775170645,4.43919729076436e-06,0.00210694026748846
"10",2,"mRF","LAI",0.554405928246399,2.24577554515227,0.682150703528994,0.844055997692632,0.231848194322692,0.203539154593688,0.981367889109815,0.990640141075363
"11",3,"mRF","Cab",0.895500633930289,5.3602778984284,0.980878856102489,2.93998453553487,0.0846841971317837,0.0861008887021235,11.2320090062127,3.35141895414654
"12",3,"mRF","Car",0.299934493980244,18.9869334111111,0.692700907542632,2.20497938836062,0.084225212306786,0.0832689482936941,7.33660228997118,2.70861630541706
"13",3,"mRF","Cw",0.444119749989554,0.00995150192688501,0.616667089404892,0.00197125574167189,0.119512570490997,0.116189539323171,6.09077094005395e-06,0.00246794873124503
"14",3,"mRF","Cm",0.516553083220889,0.00808229974643494,0.712607974021866,0.00199282160144421,0.122049771488618,0.118924407182572,5.72729619726429e-06,0.00239317700917928
"15",3,"mRF","LAI",0.496754795821678,2.54301319761357,0.577625565106458,0.905729696431619,0.259251281469201,0.213408718538514,1.2014410043275,1.09610264315323
"16",4,"mRF","Cab",0.918882718529359,3.89801352106764,0.977564226254082,2.83387955446147,0.0706481942284297,0.0734701119468062,11.3021417727269,3.36186581718053
"17",4,"mRF","Car",0.289103104610023,19.4475274312531,0.715378035161278,1.82516469396695,0.0688197959244702,0.0678612081893667,5.36837840986601,2.31697613493666
"18",4,"mRF","Cw",0.440756044398339,0.00922088678180169,0.694297545596903,0.00167752194673892,0.105228381441858,0.103456762707515,4.35079901205801e-06,0.00208585690114591
"19",4,"mRF","Cm",0.584148292886331,0.00724440522241785,0.8144584458928,0.00171664794396364,0.108645190511549,0.106441583727385,4.45608260235205e-06,0.0021109435336721
"20",4,"mRF","LAI",0.492213712901987,2.64399527586671,0.601088932404045,0.807807716561505,0.205452084954229,0.181272798384723,0.933583584235182,0.966221291545152
"21",5,"mRF","Cab",0.905075674080875,3.91740500814289,0.98228431732174,2.50468689794482,0.0609049313882488,0.062537992360114,10.1977752571689,3.19339556853968
"22",5,"mRF","Car",0.232721959257436,20.9766910541199,0.564332250296971,2.21480927795107,0.0856654989962024,0.0839416234778999,7.25959243323562,2.69436308489328
"23",5,"mRF","Cw",0.404957198116072,0.0101717369142537,0.61887423231553,0.00193925210317099,0.119298046377405,0.115267672932948,5.64305369936531e-06,0.00237551125010287
"24",5,"mRF","Cm",0.56106730690706,0.00766051238892015,0.754839295124509,0.00187199066989096,0.116743693253368,0.115130702223958,5.08021071983055e-06,0.00225393227933551
"25",5,"mRF","LAI",0.505026689037515,2.32910452963263,0.643853766663682,0.918027615035291,0.277755638982186,0.234200183544428,1.12794950290315,1.06204967063841
