"","Statistic","SCE_Cab","SCE_Cw","SCE_LAI","SCE_Cm","SCE_Car","ann3_Cab","ann3_Cw","ann3_LAI","ann3_Cm","ann3_Car"
"1","Slope",1.0000001780926,1.00000060949472,0.999992103547229,1.00000017235484,0.999999696800611,1.0494836283887,0.988154463374754,1.00570820751616,1.00891845836336,1.00282966002401
"2","Intercept",-9.12743377442982e-06,-7.86586184317877e-09,3.39481304317838e-05,-6.2595336402684e-09,-6.142343701515e-06,-2.19293063084478,-0.000104018444271894,-0.233541269608708,-5.31065339636839e-05,-0.263466068572893
"3","R-sqr",0.999999999997842,0.999999999992744,0.999999999831381,0.99999999999123,0.999999999756926,0.997727848576692,0.997764315953634,0.932252070506127,0.998544690393097,0.977797257522751
"4","MAE",1.62666237184084e-05,8.07010605979874e-09,1.00275875929719e-05,1.10993780816533e-08,9.68841447059295e-05,0.450775356242182,0.000107102958178228,0.22808636782483,0.000139971377767054,0.953400179332542
"5","MAPE",3.33561276073436e-07,4.52550646902374e-07,1.96619294492407e-06,6.05716012613638e-07,3.53129247519772e-06,0.00861471703685899,0.00603325274938056,0.0465761940066399,0.00908184321363717,0.0436204088114585
"6","SMAPE",3.33561291335002e-07,4.5255063163267e-07,1.96619280735855e-06,6.05716003217977e-07,3.53129373100745e-06,0.00858474346198583,0.00601704315036425,0.0463448373011134,0.00906012938699529,0.0419274077108106
"7","MSE",4.40514404852245e-10,8.69100949465325e-17,1.82931847232727e-10,1.88554259588901e-16,1.47851702052857e-08,0.512112987979145,2.62049753794356e-08,0.0797437904520879,3.18944747784548e-08,1.38899630272388
"8","RMSE",2.09884350262769e-05,9.32255839062071e-09,1.35252300251318e-05,1.37315060932478e-08,0.00012159428524929,0.715620701195225,0.000161879508831216,0.28238943048933,0.00017859024267427,1.17855687292717
