"","Statistic","SCE_LAI","ANN_LAI"
"1","Slope",0.84729374605191,0.681671609382215
"2","Intercept",4.67091594950806,2.1182577916475
"3","R-sqr",0.20785497414359,0.427799520247428
"4","MAE",1.26246631144754,0.717600484001333
"5","MAPE",0.415034612754759,0.167714955565579
"6","SMAPE",0.219454501403436,0.160936112651895
"7","MSE",3.40884670657026,0.774378934424199
"8","RMSE",1.84630623315047,0.879988030841442
