"","Trait","SCE_optim_3","SCE_optim_4","SCE_optim_5","LBF_optim_3","LBF_optim_4","LBF_optim_5"
"1","Cab",12.9494733094369,1.74386640890856,3.41222912522666e-05,22.8356387876568,22.7730522159484,23.9718040704582
"2","Cw",3.55384701550845,3.42729233021962,4.89250566343713e-05,20.3923751907951,12.7781849810627,9.32391623969927
"3","LAI",20.8076452611519,8.52964114881077,0.000199909276008186,39.7148739093431,31.6719481381349,30.7292975899703
"4","Cm",NA,4.61020210994743,6.36101597907102e-05,NA,28.988767028135,17.6342593405035
"5","Car",NA,NA,0.000358035722915835,NA,NA,40.7099874359824
