"","Trait","SCE_optim_3","SCE_optim_4","SCE_optim_5","LBF_optim_3","LBF_optim_4","LBF_optim_5"
"1","Cab",12.8667572863378,0.471666133953701,4.52058488154905e-05,18.3255607244076,12.7683004740626,13.0700423123455
"2","Cw",6.75903809305068,1.32322300132769,4.27052909415318e-05,12.901227139886,13.4537073532666,12.0595057815267
"3","LAI",10.8199304202929,1.48138484119448,6.41274685643448e-05,18.5559648247074,19.3863633671293,18.5011947647523
"4","Cm",NA,1.7625012696452,5.94514281522542e-05,NA,10.3513997421885,10.3570032890451
"5","Car",NA,NA,0.000207804970684472,NA,NA,20.6001566477799
