"","Trait","SCE_optim_3","SCE_optim_4","SCE_optim_5","LBF_optim_3","LBF_optim_4","LBF_optim_5"
"1","Cab",8.19813845694527,3.35645443326498,1.68475723423887e-05,20.8327158380434,22.2910784698266,21.319015699438
"2","Cw",21.1984935434428,3.32879409845794,2.83317349677642e-05,16.59353696627,12.9448300105722,13.2830358975269
"3","LAI",29.2764418476296,8.79812934518204,8.89315308881044e-05,42.0994307061355,32.8541467183027,36.1585558183724
"4","Cm",NA,10.8467892636541,4.02139639142745e-05,NA,33.1790837660773,32.509589956407
"5","Car",NA,NA,0.000148938219233366,NA,NA,40.6965278135588
