"","Cab","Cw","LAI","Cm","Car","SCE_Cab","SCE_Cw","SCE_LAI","SCE_Cm","SCE_Car","LBFGSB_Cab","LBFGSB_Cw","LBFGSB_LAI","LBFGSB_Cm","LBFGSB_Car","SCE_iter","LBFGSB_fncall"
"1",37.0571062544175,0.0157612708305345,5.43164307887562,0.0187684306432372,12.8280740679322,37.0571005928907,0.0157612625131171,5.43165319799345,0.0187684402588256,12.8280566247112,41.2932867314538,0.015747795668459,6.1126559847048,0.0212506256723423,33.7980184814841,37,23
"2",27.0579995985811,0.0205365822228966,6.13441846473541,0.0211278745975398,19.9099697529023,27.0580131656439,0.0205365991127971,6.1343895336727,0.0211278935534367,19.9100298591669,41.2933045565806,0.0224715386891408,6.11266673776773,0.03,33.7980383900009,37,23
"3",79.9887171573957,0.0198570767006649,5.63695146924069,0.00691350122706996,12.9281340609495,79.9887279672767,0.0198570839953711,5.63694665639707,0.00691349620324108,12.9282539194611,43.1155545105907,0.0161829804562149,9.5,0.005,33.7991312535845,37,23
"4",55.4593575571813,0.0170604541056694,2.48169604417516,0.0122326588638187,30.5516082453162,55.459357270085,0.0170604592976446,2.48169536005588,0.012232653557512,30.5514571269615,41.2936800481206,0.0094564605829906,6.11078495213097,0.0100173994682108,33.798044724579,37,23
"5",67.9386234149861,0.0157318392001715,5.03380956514727,0.0160176262706718,23.3196942095626,67.9386283305432,0.0157318470811361,5.03380025801032,0.0160176107790841,23.3194872673717,41.2941835104963,0.0140519636274584,6.11282129290764,0.0114464340436667,33.7980548553259,37,23
"6",77.3347788125691,0.01748099484259,4.87531644394628,0.0228599433809237,35.4584409711124,77.3347470857231,0.017480988698119,4.87531633979417,0.0228599313073301,35.4584651653507,41.2938537435638,0.0152417753287698,6.112971168662,0.0148302616816552,33.7980507602886,37,23
"7",63.4761004292673,0.0121780086670723,4.17159963768101,0.0200022006840345,29.9107215120865,63.4761526176167,0.0121780169742749,4.17159416293711,0.0200022039979218,29.9104844494789,41.2937584292505,0.0104376748523024,6.11152836105023,0.0156102387082811,33.7980474690997,37,23
"8",70.209386836417,0.0194386763108457,2.99229877555525,0.0158636299763962,28.6886159531919,70.2093794295535,0.0194386854218073,2.99229790010842,0.0158636568045226,28.6888703622699,41.294046770718,0.0128731040062744,6.11203895557433,0.0114624010238892,33.7980520941733,37,23
"9",49.9741136380759,0.0188546131070753,4.29797119681753,0.016887171168577,20.6904202918332,49.9741287950103,0.0188546239922485,4.29796556707419,0.0168871652479253,20.6903703667256,41.2936507348238,0.0165264770621121,6.1132752818136,0.0154394897322224,33.7980383364412,37,23
"10",55.0347271137704,0.0242747007934329,4.35834365289193,0.0191563047983071,24.012061091072,55.0346970197696,0.0242747182396273,4.35833595500553,0.0191562893845453,24.0119970265513,41.2935343316044,0.0209945539338253,6.11400012635186,0.0157192654917717,33.7980401910866,37,23
"11",66.7095857880562,0.0212817378988585,5.84845824455429,0.0246437282020113,28.0711383140493,66.7095752851844,0.0212817580018188,5.84842549763491,0.0246437343423447,28.071117408677,66.0749087598749,0.0208239940599925,8.26798856537246,0.0250241574068813,33.8177599319216,37,23
"12",37.1758879379783,0.0216694305078173,4.23683498598027,0.0178228737872173,36.6307609902126,37.1758852723611,0.0216694190532512,4.23684349551943,0.0178228915206499,36.6308039755754,39.3333309701229,0.0228714993514062,3.85505352289186,0.0185199106517624,33.7924497366621,37,23
"13",55.0054611614325,0.0151948259846258,5.34268100363939,0.0232447392991272,41.2781460990373,55.0054555974417,0.0151948310402498,5.34266869527818,0.0232447194366064,41.2779319807289,41.293721433817,0.0143204923899667,6.11245792348484,0.019151751629415,33.7980513233908,37,23
"14",37.1723919541344,0.0202304776442486,5.89528624593981,0.020115509784111,24.1341148476717,37.1723912752573,0.0202304680234435,5.89529266937787,0.0201154969353542,24.1341209926577,41.2932515765713,0.0206599041635485,6.11326767444717,0.0225296028011771,33.7980338995648,37,23
"15",49.7894608855719,0.0199404006618388,6.0150759449084,0.00779820418809495,22.458241525728,49.7894653584928,0.0199404137139935,6.01506296953723,0.00779820325439716,22.4583173419235,41.2938028050363,0.0190855839081547,6.11468248038278,0.00631663070755368,33.7980493198911,37,23
"16",58.4720679347428,0.0209316881339099,4.44219284993172,0.014129182630562,24.3942632349478,58.4720646336244,0.0209316925388058,4.44219095340267,0.0141291805545153,24.3940871578845,41.2937971838159,0.017969322422261,6.11394574619833,0.01126130941962,33.7980475739445,37,23
"17",29.3423839603458,0.015259222141941,4.49576203109202,0.016814799531908,39.9788636002943,29.3423787363734,0.0152592350810022,4.49575410762296,0.0168148023942294,39.9790198799284,41.2931732737032,0.0146464968272199,6.11241476116963,0.0223124627542147,33.7980397367012,37,23
"18",58.367552917921,0.0123464943104756,4.64993268196635,0.0234936165991347,26.8202046473556,58.3675936625875,0.0123464949069825,4.64993008916903,0.0234936284811665,26.8201691293468,41.2935992257448,0.0112186635986102,6.11188037431671,0.0192527349112484,33.7980424477934,37,23
"19",62.1315102622008,0.0134798530714179,5.4508040502811,0.0178838133452695,43.0214436776993,62.1315421349447,0.0134798618571802,5.45079733470797,0.017883815663601,43.0213509878127,41.2940082614539,0.0126068901765481,6.11208158568038,0.0138205932555021,33.7980589283592,37,23
