"","band","slope","intercept","R2","RMSE","MAE"
"1","Band_1",0.906873721531971,0.00371744595965465,0.926166653308816,0.00283352497426714,0.00201443002116136
"2","Band_2",0.857863985328648,0.0484687038489035,0.965009831519682,0.0219093643416928,0.0175118065527504
"3","Band_3",0.709131735431105,0.00493637081561014,0.852796020231462,0.00162594687528014,0.00128580962076411
"4","Band_4",0.861264566967143,0.00860973740149171,0.920486790540632,0.00561344579159951,0.00412934613207259
"5","Band_5",0.85089448509428,0.0454053879952482,0.959067357275106,0.0181088669698373,0.0145917572390616
"6","Band_6",0.818736521451278,0.0328205094796928,0.939317231329948,0.0122616359336717,0.00978185534136742
"7","Band_7",0.789594352963939,0.0128813772544784,0.932877686340345,0.00561699651240314,0.00441016885891732
