"","InitialPos","p_N","d_N","p_Cab","d_Cab","p_Car","d_Car","p_Cw","d_Cw","p_Cm","d_Cm","p_LAI","d_LAI","p_lidfa","d_lidfa","niter"
"1",1,1.49999989731103,0.12906091545109,59.9695793528055,11.7036421194618,10.0007090077652,3.03962938483704,0.0100000011937377,0.00304084128815112,0.0100000006435125,0.00951463396687408,2.00000362879539,1.75269687397929,59.999999983539,29.9991366992007,35
"2",1,1.49999885011438,0.129059868254434,42.2206720469994,6.04526518634428,10.000489604992,3.03984878761024,0.0100000011945071,0.00304084128738169,0.0100000193770648,0.0095146152333218,2.00000031339905,1.75270018937563,59.9999972461657,29.9991339618275,35
"3",1,1.49998498413324,0.129046002273292,42.2016166042147,6.06432062912906,10.0000067610927,3.04033163150962,0.010000001562051,0.00304084091983786,0.010000002491494,0.00951463211889261,2.00000015514419,1.75270034763049,59.9999964164654,29.9991331321271,35
"4",1,1.49999927421465,0.129060292354703,53.6469356698636,5.38099843651985,10.0106138175612,3.02972457504107,0.0100000420706091,0.00304080041127978,0.0100000000037913,0.0095146346065953,2.00000045848713,1.75270004428755,59.9999931340613,29.999129849723,35
"5",1,1.49999758967459,0.129058607814643,42.2898793619738,5.97605787136992,10.0021904430614,3.0381479495409,0.0100000027887204,0.00304083969316842,0.0100000176822712,0.00951461692811537,2.00000022288514,1.75270027988954,59.9999888693672,29.9991255850289,35
"6",1,1.49999493024651,0.129055948386564,42.2304542602034,6.03548297314029,10.0020775734882,3.03826081911408,0.0100000000324593,0.00304084244942952,0.0100007706398201,0.00951386397056642,2.00000020364103,1.75270029913365,59.9999994846849,29.9991362003466,35
"7",1,1.49998662076051,0.129047638900569,42.0308280645165,6.23510916882721,10.000651834855,3.03968655774725,0.0100000099687962,0.00304083251309261,0.0100000027822818,0.00951463182810476,2.00000011458442,1.75270038819026,59.9999965227781,29.9991332384399,35
"8",1,1.49999985337918,0.129060871519234,41.9077146207513,6.35822261259245,10.0000080335411,3.04033035906117,0.0100000021141186,0.00304084036777023,0.0100100873917452,0.00950454721864142,2.00000010756065,1.75270039521402,59.9999933746845,29.9991300903462,35
"9",1,1.49999974741571,0.12906076555576,42.6388772957045,5.62705993763919,10.0007893297514,3.03954906285085,0.0100000062460757,0.00304083623581315,0.0100000166776546,0.00951461793273201,2.00000274347733,1.75269775929735,59.9999927172011,29.9991294328628,35
"10",1,1.49999996360128,0.129060981741339,42.3820438064947,5.88389342684907,10.0020779487707,3.03826044383163,0.0100000035319943,0.00304083894989456,0.0100000027659424,0.00951463184444417,2.00000192606935,1.75269857670533,59.9999928591805,29.9991295748422,35
