"","RunNr","mRF_Grid","mRF_LHS"
"1",1,0.0929746525212822,0.0207342640337885
"2",2,0.059663186579038,0.0162819640902626
"3",3,0.387194999542383,0.0283669433055029
"4",4,0.121259094195626,0.0145650045529319
"5",5,0.0617299217627283,0.0100972202453347
"6",6,0.0432554668341521,0.0235175670529768
"7",7,0.047785423950874,0.0173332649891197
"8",8,0.0948510636617489,0.0259991945078115
"9",9,0.00889840591174457,0.00569603293900302
"10",10,0.150028459789205,0.0267357705382206
"11",11,0.205420226351299,0.0386290243594474
"12",12,0.177897123281388,0.0564106527558314
"13",13,0.602362412035692,0.125864795717388
"14",14,0.035595844279135,0.0076202804225279
"15",15,0.0293129896136708,0.025321428301811
"16",16,0.0471715088060181,0.00811664541883528
"17",17,0.0310419329281382,0.00737372815233021
"18",18,0.0430160673730172,0.0100871713453489
"19",19,0.0698047865161154,0.0182936532059032
"20",20,0.0173689223217146,0.0125236698382826
"21",21,0.126616939478895,0.0224904920803653
"22",22,0.147584867921327,0.0284582662413884
"23",23,0.0474187142005611,0.00752464789459587
"24",24,0.187806982154446,0.0204348538619492
"25",25,0.568434388755819,0.122957441496656
"26",26,0.0556572967599159,0.0161519379853627
"27",27,0.0979460326028823,0.0229476575752987
"28",28,0.504693649474868,0.0346549129929034
"29",29,0.0370152899521556,0.0108956554014291
"30",30,0.0712506065132982,0.0124571494282655
"31",31,0.125390065905645,0.0383300588526987
"32",32,0.195261100832589,0.0168345272260197
"33",33,0.174600676604034,0.028319420404225
"34",34,0.184982510695048,0.0445687505550709
"35",35,0.0771970021313742,0.0162404949913766
"36",36,0.0214572431039784,0.015751586976796
"37",37,0.0195535492365003,0.0103780498590808
"38",38,0.0153118631564996,0.0116112963472091
"39",39,0.492919957232264,0.0818874433356063
"40",40,0.0245074574399399,0.0173000346281081
"41",41,0.0750778185268906,0.0195762810921339
"42",42,0.108705929007304,0.0212933486666469
"43",43,0.077643900142789,0.0152495608845215
"44",44,0.0728200980316762,0.0242727598846741
"45",45,0.0844645764843026,0.016553464025703
"46",46,0.0163052828033387,0.0215868916217816
"47",47,0.0286296206560112,0.023175890789388
"48",48,0.0525009986804001,0.0204169169512064
"49",49,0.0526327744876632,0.0121805864419192
"50",50,0.0107663438855158,0.0196156555906497
"51",51,0.0807631305820711,0.0176685036945559
"52",52,0.221224951108984,0.0353181009828955
"53",53,0.595012828463282,0.100422600311077
"54",54,0.0607971875409685,0.0108867045141064
