"","trait","slope","inter","Rsqur","RMSE","MAE","MAPE","Mean","std"
"1","Cab",0.933105703358475,2.4970932776137,0.990173067947188,1.8784110497764,1.38067638288176,4.35364756682878,45.0000244290237,20.2122999777059
"2","Car",0.324910665116688,15.0805066805687,0.704295621715067,2.12711171759527,1.72433865663754,39.9464918732726,22.4999379181393,10.1061168689751
"3","Cw",0.280844041386495,0.0107633943835326,0.450120457935252,0.000896076227827966,0.00073823323171033,13.51507488976,0.0149999897989816,0.0028874847779184
"4","Cm",0.404715090289707,0.00882159878029424,0.580354894959458,0.00099345414958654,0.000811541424325521,11.639311642743,0.0149999885196082,0.00288744381195639
"5","LAI",0.832381594938781,0.646225830361359,0.88366869070086,0.566691071201365,0.451426467228332,11.1041345615121,3.75001502922108,1.87685055663333
