"","InitialPos","p_N","d_N","p_Cab","d_Cab","p_Car","d_Car","p_Cw","d_Cw","p_Cm","d_Cm","p_LAI","d_LAI","p_lidfa","d_lidfa","niter"
"1",1,1.65552637783565,0.0436512505287605,40.8468931573597,23.5028071658607,8.26108615885213,2.60097555632427,0.0101028793223513,0.00931711713202913,0.0093749767065611,0.000300674195271388,0.961464057518016,0.824940270483648,58.5871600843811,56.21891333883,31
"2",1,1.65554197841611,0.0436356499483055,40.8463113346102,23.5022253431112,8.26159779576442,2.60148719323656,0.0101028478676548,0.00931714858672569,0.00937487385251164,0.000300571341221927,0.9615051088993,0.824899219102363,58.5888786035055,56.2206318579545,31
"3",1,1.65553498008991,0.0436426482745038,40.8456512633245,23.5015652718254,8.26117099016065,2.60106038763279,0.0101027537114102,0.00931724274297025,0.00937478494135869,0.000300482430068976,0.961532560911434,0.824871767090229,58.590042044373,56.221795298822,31
"4",1,1.65553641929442,0.0436412090699916,40.8460266462391,23.5019406547401,8.2612207358239,2.60111013329604,0.0101027730044538,0.00931722344992667,0.00937480173391403,0.000300499222624309,0.96152094613816,0.824883381863503,58.5895911532748,56.2213444077238,31
"5",1,1.65553465201998,0.0436429763444317,40.8464426700485,23.5023566785495,8.26146360930677,2.60135300677891,0.0101028990599111,0.00931709739446937,0.0093749139171999,0.000300611405910187,0.961492441572669,0.824911886428994,58.5885143829024,56.2202676373514,31
"6",1,1.65555935237192,0.0436182759924946,40.8465883344329,23.5025023429339,8.26147834856874,2.60136774604088,0.0101030067757806,0.00931698967859983,0.00937492213327621,0.000300619621986497,0.961475150134191,0.824929177867472,58.587843895902,56.219597150351,31
"7",1,1.65556155016737,0.0436160781970438,40.8460963341458,23.5020103426468,8.26192323486569,2.60181263233783,0.0101029564825048,0.00931703997187569,0.00937508222479731,0.000300779713507589,0.961514690741394,0.824889637260269,58.5896841457605,56.2214374002095,31
"8",1,1.65553561549464,0.0436420128697739,40.8460165869274,23.5019305954284,8.26120038323253,2.60108978070467,0.0101027983944135,0.009317198059967,0.00937485249848881,0.000300549987199094,0.961498286433717,0.824906041567946,58.5885822663295,56.2203355207785,31
"9",1,1.65556462474932,0.0436130036150957,40.8466212481911,23.5025352566921,8.26125283404173,2.60114223151387,0.010102989996154,0.00931700645822645,0.00937493123397255,0.000300628722682838,0.961508537951094,0.82489579005057,58.5893502683459,56.2211035227949,31
"10",1,1.6555418967242,0.0436357316402123,40.846474137491,23.502388145992,8.26160835147961,2.60149774895176,0.0101028985992119,0.00931709785516854,0.00937494763580333,0.000300645124513613,0.961489038696219,0.824915289305444,58.5882773918717,56.2200306463207,31
