"","band","slope","intercept","R2","RMSE","MAE"
"1","Band_1",1.03184347227223,4.02871738327348e-05,0.946993427149608,0.00270149222343432,0.00184370898187746
"2","Band_2",0.936311961049374,0.0216660448353674,0.990041184895738,0.0125951101319142,0.00960234316608565
"3","Band_3",0.791407367577564,0.00347849532351205,0.82995208078024,0.00197697636734522,0.00155079415179338
"4","Band_4",0.946095308922987,0.00371994162995114,0.949272394540291,0.0048500223026506,0.00336806067391988
"5","Band_5",0.933541538257396,0.0200132406005681,0.989528385710288,0.00989308108835597,0.00757495766188397
"6","Band_6",0.915877100883678,0.0150605519023069,0.983196900865806,0.00705487543121497,0.00550973760526883
"7","Band_7",0.884082284971844,0.0070807236709619,0.977850757799459,0.00352870091709408,0.00270481518836005
