"","InitialPos","p_N","d_N","p_Cab","d_Cab","p_Car","d_Car","p_Cw","d_Cw","p_Cm","d_Cm","p_LAI","d_LAI","p_lidfa","d_lidfa","niter"
"1",1,1.5,0.129061018140055,42.2235421190883,6.04239511425543,10,3.04033839260228,0.01,0.00304084248188883,0.01,0.00951463461038657,2,1.75270050277468,60,29.9991367156617,39
"2",1,1.5,0.129061018140055,42.223558581234,6.04237865210975,10,3.04033839260228,0.01,0.00304084248188883,0.01,0.00951463461038657,2,1.75270050277468,60,29.9991367156617,39
"3",1,1.5,0.129061018140055,42.2235518642826,6.04238536906116,10,3.04033839260228,0.01,0.00304084248188883,0.01,0.00951463461038657,2,1.75270050277468,60,29.9991367156617,39
"4",1,1.5,0.129061018140055,42.2235915685809,6.04234566476286,10,3.04033839260228,0.01,0.00304084248188883,0.01,0.00951463461038657,2,1.75270050277468,60,29.9991367156617,39
"5",1,1.5,0.129061018140055,42.2235524786225,6.0423847547212,10,3.04033839260228,0.01,0.00304084248188883,0.01,0.00951463461038657,2,1.75270050277468,60,29.9991367156617,39
"6",1,1.5,0.129061018140055,42.223537735328,6.04239949801576,10,3.04033839260228,0.01,0.00304084248188883,0.01,0.00951463461038657,2,1.75270050277468,60,29.9991367156617,39
"7",1,1.5,0.129061018140055,42.2234150022957,6.04252223104803,10,3.04033839260228,0.01,0.00304084248188883,0.01,0.00951463461038657,2,1.75270050277468,60,29.9991367156617,39
"8",1,1.5,0.129061018140055,42.2235107819799,6.04242645136383,10,3.04033839260228,0.01,0.00304084248188883,0.01,0.00951463461038657,2,1.75270050277468,60,29.9991367156617,39
"9",1,1.5,0.129061018140055,42.2239163114109,6.04202092193281,10,3.04033839260228,0.01,0.00304084248188883,0.01,0.00951463461038657,2,1.75270050277468,60,29.9991367156617,39
"10",1,1.5,0.129061018140055,42.2235560243719,6.04238120897178,10,3.04033839260228,0.01,0.00304084248188883,0.01,0.00951463461038657,2,1.75270050277468,60,29.9991367156617,39
