The following table was created as response to the SQL query
SELECT sbs_sbsnumber "SBS number", sbs_sbsname "SBS name", pgf_name "plant growth form", pgf_genname "gen. plant growth form", pgf_valid "record validity", ref_refname "reference", or_origrefname "original reference" FROM (SELECT r_pgf.pgf_name, sbs.sbs_sbsnumber, sbs.sbs_sbsname, r_pgf.pgf_genname, r_pgf.pgf_valid, r_pgf.ref_refname, r_pgf.or_origrefname, r_pgf.pgf_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT pgf_orf.pgf_sbsnumber, pgf_orf.pgf_name, pgf_orf.pgf_genname, pgf_orf.pgf_valid, r.ref_refname, pgf_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT pgf.pgf_sbsnumber, pgf.pgf_name, pgf.pgf_genname, pgf.pgf_valid, pgf.pgf_referenceid, orf.or_origrefname FROM (SELECT sbsnumber AS pgf_sbsnumber, plantgrowthformname AS pgf_name, genplantgrowthformname AS pgf_genname, valid AS pgf_valid, referenceid AS pgf_referenceid, originalreference AS pgf_origreferenceid FROM (SELECT plantgrowthformid, created_when, updated_when, updatedwho, valid, validsince, validuntil, sbsnumber, taxonid, referenceid, originalreference, batchid, p_comment, plantgrowthformtypeid, genplantgrowthformtypeid, plantgrowthformname, genplantgrowthformname
FROM
	(SELECT plantgrowthformid, created_when, updated_when, updatedwho, valid, validsince, validuntil, taxonid, referenceid, originalreference, batchid, p_comment, a.plantgrowthformtypeid, a.plantgrowthformtypename AS plantgrowthformname, b.plantgrowthformtypename AS genplantgrowthformname, b.plantgrowthformtypeid AS genplantgrowthformtypeid
	FROM
		(SELECT * FROM PLANTGROWTHFORM NATURAL join PLANTGROWTHFORMTYPE_LV) a
		join
		PLANTGROWTHFORMTYPE_LV b
		ON a.plantgrowthformtypeid - MOD(a.plantgrowthformtypeid,100) = b.plantgrowthformtypeid
	)
	NATURAL join
	TAXONTOSBSASSIGNMENT WHERE valid IN (-2, 1))) pgf FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON pgf.pgf_origreferenceid = orf.or_origrefid) pgf_orf ON r.ref_referenceid = pgf_orf.pgf_referenceid) r_pgf ON sbs.sbs_sbsnumber = r_pgf.pgf_sbsnumber)
on Mon Apr 26 11:04:46 CEST 2010 .

SBS number;SBS name;plant growth form;gen. plant growth form;record validity;reference;original reference
29481;Alchemilla gracilis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29465;Alchemilla monticola;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29429;Filipendula vulgaris;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29395;Aremonia agrimonoides;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29391;Aphanes arvensis;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17622;Silene rupestris;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17617;Silene pusilla;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17593;Silene linicola;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17578;Silene dioica;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17543;Scleranthus annuus s. verticillatus;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17542;Scleranthus annuus subsp. polycarpos;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17539;Saponaria officinalis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17489;Minuartia sedoides;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17367;Cerastium latifolium;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17356;Cerastium glomeratum;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17304;Stellaria palustris;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
17252;Silene noctiflora;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13960;Lunaria rediviva;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
23905;Mentha arvensis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
23905;Mentha arvensis;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
23861;Galeopsis speciosa;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
18833;Cuscuta lupuliformis;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
18833;Cuscuta lupuliformis;Vascular parasite;Vascular parasite;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
18827;Cuscuta gronovii;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
18827;Cuscuta gronovii;Vascular parasite;Vascular parasite;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
18822;Cuscuta europaea;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
18822;Cuscuta europaea;Vascular parasite;Vascular parasite;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20503;Lathyrus montanus;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20503;Lathyrus montanus;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20500;Lathyrus laevigatus;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20500;Lathyrus laevigatus;Liana;Liana;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20494;Chamaecytisus ratisbonensis;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20423;Astragalus australis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20420;Astragalus arenarius;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20366;Trifolium spadiceum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20366;Trifolium spadiceum;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20360;Vicia sylvatica;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20360;Vicia sylvatica;Liana;Liana;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20357;Vicia sepium;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20357;Vicia sepium;Liana;Liana;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20346;Vicia hirsuta;Liana;Liana;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20346;Vicia hirsuta;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20294;Euphorbia amygdaloides;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20281;Euphorbia brittingeri;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20257;Euphorbia chamaesyce;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20247;Euphorbia dulcis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20247;Euphorbia dulcis;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13952;Lepidium virginicum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13952;Lepidium virginicum;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13947;Lepidium ruderale;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13947;Lepidium ruderale;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13940;Lepidium heterophyllum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13930;Sisymbrium loeselii;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13930;Sisymbrium loeselii;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26836;Ranunculus montanus;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26821;Ranunculus ololeucos;Hydrophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26809;Ranunculus bulbosus;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
26809;Ranunculus bulbosus;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
24218;Clinopodium vulgare;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
24198;Leonurus marrubiastrum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
24198;Leonurus marrubiastrum;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
24189;Lamium maculatum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
24182;Lamium album;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
24144;Ajuga pyramidalis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
24142;Ajuga genevensis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
24038;Stachys alpina;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
24023;Stachys sylvatica;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
23985;Prunella grandiflora;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
23973;Origanum vulgare;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
23973;Origanum vulgare;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
23967;Scutellaria minor;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
23966;Scutellaria hastifolia;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
23952;Salvia verticillata;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20238;Euphorbia cyparissias;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20238;Euphorbia cyparissias;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20227;Euphorbia esula;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20208;Euphorbia falcata;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
20206;Euphorbia exigua;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29390;Amelanchier ovalis;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29387;Potentilla crantzii;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29385;Potentilla collina;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29366;Geum rivale;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29358;Fragaria viridis;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29349;Potentilla recta;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29340;Potentilla inclinata;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29327;Rosa obtusifolia;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29316;Prunus spinosa;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29315;Prunus serotina;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29315;Prunus serotina;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29292;Rosa scabriuscula;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29291;Rosa rubiginosa;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29288;Rosa pimpinellifolia;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29288;Rosa pimpinellifolia;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
29258;Rosa glauca;Phanerophyte;Phanerophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13926;Sisymbrium austriacum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13926;Sisymbrium austriacum;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13910;Rorippa sylvestris;Geophyte;Cryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13910;Rorippa sylvestris;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13904;Rorippa austriaca;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13886;Rapistrum rugosum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13886;Rapistrum rugosum;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13874;Petrocallis pyrenaica;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13825;Thlaspi arvense;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13809;Sisymbrium strictissimum;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13799;Biscutella laevigata;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13787;Barbarea verna;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13735;Cardaminopsis petraea;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13735;Cardaminopsis petraea;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13713;Camelina microcarpa;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13713;Camelina microcarpa;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
13691;Brassica nigra;Therophyte;Therophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
15243;Campanula barbata;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
15227;Campanula cochlearifolia;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
15224;Campanula cervicaria;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
15223;Campanula cenisia;Chamaephyte;Chamaephyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
15158;Campanula glomerata;Hemicryptophyte;Hemicryptophyte;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
