The following table was created as response to the SQL query
SELECT sbs_sbsnumber "SBS number", m_methodname "general method", sbs_sbsname "SBS name", bra_typename "branching", bra_valid "valid", ref_refname "reference", or_origrefname "original reference" FROM (SELECT bra_m.bra_typename, sbs.sbs_sbsnumber, bra_m.m_methodname, sbs.sbs_sbsname, bra_m.bra_valid, bra_m.ref_refname, bra_m.or_origrefname, bra_m.bra_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_bra.bra_sbsnumber, r_bra.bra_typename, m.m_methodname, r_bra.bra_valid, r_bra.ref_refname, r_bra.or_origrefname FROM (SELECT bra_orf.bra_sbsnumber, bra_orf.bra_typename, bra_orf.bra_methodid, bra_orf.bra_valid, r.ref_refname, bra_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT bra.bra_sbsnumber, bra.bra_typename, bra.bra_methodid, bra.bra_valid, bra.bra_referenceid, orf.or_origrefname FROM (SELECT sbsnumber AS bra_sbsnumber, branchingtypename AS bra_typename, methodid AS bra_methodid, valid AS bra_valid, referenceid AS bra_referenceid, origreferenceid AS bra_origreferenceid FROM (select sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, branchingtypeid, created_when, updated_when, valid, validsince, validuntil, ledaid, case when branchingtypeid = 0 then 'unknown' when branchingtypeid = 1 then 'yes' when branchingtypeid = 2 then 'no' else NULL end as branchingtypename, branchingid
from branching natural join taxontosbsassignment WHERE valid IN (-2, 1))) bra FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON bra.bra_origreferenceid = orf.or_origrefid) bra_orf ON r.ref_referenceid = bra_orf.bra_referenceid) r_bra LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_bra.bra_methodid = m.m_methodid) bra_m ON sbs.sbs_sbsnumber = bra_m.bra_sbsnumber)
on Mon Apr 26 11:00:36 CEST 2010 .

SBS number;general method;SBS name;branching;valid;reference;original reference
42044;derivation from photos or drawings;Festuca patzkei;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
42148;derivation from photos or drawings;Brachypodium pinnatum subsp. rupestre;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
41305;derivation from photos or drawings;Festuca brevipila;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
41461;derivation from photos or drawings;Bromus hordeaceus subsp. thominii;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
42699;derivation from photos or drawings;Poa subcaerulea;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
41574;derivation from photos or drawings;Festuca pannonica;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
41629;derivation from photos or drawings;Aira praecox;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
42284;derivation from photos or drawings;Festuca guestfalica;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
42295;derivation from photos or drawings;Festuca longifolia;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
42303;derivation from photos or drawings;Festuca polesica;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
42305;derivation from photos or drawings;Festuca pratensis s. apennina;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
42306;derivation from photos or drawings;Festuca psammophila;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
42495;derivation from photos or drawings;Molinia caerulea;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
42902;derivation from photos or drawings;Poa chaixii;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
50012;derivation from photos or drawings;Erodium ballii;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
61197;derivation from photos or drawings;Leucanthemum ircutianum;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
59373;derivation from photos or drawings;Taraxacum Sec. Ruderalia;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
60849;derivation from photos or drawings;Alchemilla vulgaris;yes;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
40103;derivation from photos or drawings;Festuca rubra;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
44753;derivation from photos or drawings;Rumex acetosella s. acetosella v. tenuifolius;yes;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
3187;derivation from photos or drawings;Achillea roseo-alba;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
3710;derivation from photos or drawings;Crepis vesicaria;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
9235;derivation from photos or drawings;Taraxacum Sec. Erythrosperma;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
9380;derivation from photos or drawings;Taraxacum Sec. Alpestria;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
9499;derivation from photos or drawings;Taraxacum Sec. Alpina;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
6784;derivation from photos or drawings;Hieracium x schultesii;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
9860;derivation from photos or drawings;Taraxacum Sec. Obliqua;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
28709;derivation from photos or drawings;Armeria maritima s. elongata;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
13397;derivation from photos or drawings;Cardamine pratensis s. dentata;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
27655;derivation from photos or drawings;Polygonum neglectum;yes;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
16770;derivation from photos or drawings;Hieracium maculatum;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
34226;derivation from photos or drawings;Pedicularis sceptrum-carolinum;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
30986;derivation from photos or drawings;Alchemilla hirtipes;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
30986;derivation from photos or drawings;Alchemilla hirtipes;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
30993;derivation from photos or drawings;Alchemilla colorata;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
30995;derivation from photos or drawings;Alchemilla coriacea;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31011;derivation from photos or drawings;Sorbus multicrenata;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31020;derivation from photos or drawings;Spiraea douglasii;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31026;derivation from photos or drawings;Rubus vulgaris;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31045;derivation from photos or drawings;Rubus schlechtendalii;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31048;derivation from photos or drawings;Rubus silvaticus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31057;derivation from photos or drawings;Rubus muenteri;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31059;derivation from photos or drawings;Rubus obtusangulus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31060;derivation from photos or drawings;Rubus odoratus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31062;derivation from photos or drawings;Rubus pallidus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
31066;derivation from photos or drawings;Rubus plicatus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
