The following table was created as response to the SQL query
SELECT sbs_sbsnumber "SBS number", m_methodname "general method", sbs_sbsname "SBS name", bra_typename "branching", bra_valid "valid", ref_refname "reference", or_origrefname "original reference" FROM (SELECT bra_m.bra_typename, sbs.sbs_sbsnumber, bra_m.m_methodname, sbs.sbs_sbsname, bra_m.bra_valid, bra_m.ref_refname, bra_m.or_origrefname, bra_m.bra_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_bra.bra_sbsnumber, r_bra.bra_typename, m.m_methodname, r_bra.bra_valid, r_bra.ref_refname, r_bra.or_origrefname FROM (SELECT bra_orf.bra_sbsnumber, bra_orf.bra_typename, bra_orf.bra_methodid, bra_orf.bra_valid, r.ref_refname, bra_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT bra.bra_sbsnumber, bra.bra_typename, bra.bra_methodid, bra.bra_valid, bra.bra_referenceid, orf.or_origrefname FROM (SELECT sbsnumber AS bra_sbsnumber, branchingtypename AS bra_typename, methodid AS bra_methodid, valid AS bra_valid, referenceid AS bra_referenceid, origreferenceid AS bra_origreferenceid FROM (select sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, branchingtypeid, created_when, updated_when, valid, validsince, validuntil, ledaid, case when branchingtypeid = 0 then 'unknown' when branchingtypeid = 1 then 'yes' when branchingtypeid = 2 then 'no' else NULL end as branchingtypename, branchingid
from branching natural join taxontosbsassignment WHERE valid IN (-2, 1))) bra FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON bra.bra_origreferenceid = orf.or_origrefid) bra_orf ON r.ref_referenceid = bra_orf.bra_referenceid) r_bra LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_bra.bra_methodid = m.m_methodid) bra_m ON sbs.sbs_sbsnumber = bra_m.bra_sbsnumber)
on Mon Apr 26 11:00:36 CEST 2010 .

SBS number;general method;SBS name;branching;valid;reference;original reference
4198;derivation from photos or drawings;Ambrosia artemisiifolia;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43387;derivation from photos or drawings;Leersia oryzoides;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43423;derivation from photos or drawings;Poa supina;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43436;derivation from photos or drawings;Puccinellia maritima;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43436;derivation from photos or drawings;Puccinellia maritima;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43456;derivation from photos or drawings;Setaria pumila;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43457;derivation from photos or drawings;Setaria verticillata;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43483;derivation from photos or drawings;Tragus racemosus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43540;derivation from photos or drawings;Lolium perenne;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43550;derivation from photos or drawings;Melica uniflora;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43550;derivation from photos or drawings;Melica uniflora;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43565;derivation from photos or drawings;Panicum miliaceum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43581;derivation from photos or drawings;Phleum paniculatum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43610;derivation from photos or drawings;Poa palustris;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43690;derivation from photos or drawings;Helictotrichon parlatorei;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43702;derivation from photos or drawings;Hordeum jubatum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43779;derivation from photos or drawings;Sesleria ovata;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43844;derivation from photos or drawings;Zea mays;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43857;derivation from photos or drawings;Zannichellia palustris;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43989;derivation from photos or drawings;Sparganium angustifolium;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43999;derivation from photos or drawings;Sparganium minimum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43992;derivation from photos or drawings;Sparganium emersum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43993;derivation from photos or drawings;Sparganium erectum;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43993;derivation from photos or drawings;Sparganium erectum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43993;derivation from photos or drawings;Sparganium erectum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44002;derivation from photos or drawings;Hieracium prenanthoides;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44027;derivation from photos or drawings;Typha angustifolia;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44027;derivation from photos or drawings;Typha angustifolia;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44041;derivation from photos or drawings;Typha latifolia;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44044;derivation from photos or drawings;Typha minima;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44053;derivation from photos or drawings;Typha shuttleworthii;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44095;derivation from photos or drawings;Calamintha nepeta subsp. nepeta x subsp. glandulosa;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44204;derivation from photos or drawings;Hieracium racemosum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44218;derivation from photos or drawings;Hieracium sabaudum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43879;derivation from photos or drawings;Zostera marina;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43880;derivation from photos or drawings;Zostera noltii;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43887;derivation from photos or drawings;Potamogeton praelongus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43890;derivation from photos or drawings;Potamogeton pusillus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43895;derivation from photos or drawings;Potamogeton rutilus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43903;derivation from photos or drawings;Potamogeton trichoides;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43923;derivation from photos or drawings;Potamogeton lucens;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43926;derivation from photos or drawings;Potamogeton natans;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43933;derivation from photos or drawings;Potamogeton nodosus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43936;derivation from photos or drawings;Potamogeton obtusifolius;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43938;derivation from photos or drawings;Potamogeton pectinatus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43943;derivation from photos or drawings;Potamogeton perfoliatus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43944;derivation from photos or drawings;Potamogeton polygonifolius;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43950;derivation from photos or drawings;Potamogeton acutifolius;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43951;derivation from photos or drawings;Potamogeton alpinus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43955;derivation from photos or drawings;Potamogeton berchtoldii;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43961;derivation from photos or drawings;Potamogeton coloratus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43962;derivation from photos or drawings;Potamogeton compressus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43966;derivation from photos or drawings;Potamogeton crispus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43968;derivation from photos or drawings;Potamogeton filiformis;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43972;derivation from photos or drawings;Potamogeton friesii;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43975;derivation from photos or drawings;Potamogeton gramineus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43982;derivation from photos or drawings;Groenlandia densa;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
43986;derivation from photos or drawings;Scheuchzeria palustris;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44452;derivation from photos or drawings;Phegopteris connectilis;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44469;derivation from photos or drawings;Asplenium trichomanes-ramosum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44510;derivation from photos or drawings;Cystopteris alpina;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44517;derivation from photos or drawings;Woodsia glabella s. pulchella;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44528;derivation from photos or drawings;Dryopteris affinis;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44580;derivation from photos or drawings;Thuja plicata;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44593;derivation from photos or drawings;Salix serpillifolia;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44662;derivation from photos or drawings;Parietaria judaica;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
44664;derivation from photos or drawings;Parietaria pensylvanica;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1514;derivation from photos or drawings;Angelica archangelica;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1518;derivation from photos or drawings;Angelica palustris;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1519;derivation from photos or drawings;Angelica sylvestris;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1526;derivation from photos or drawings;Anthriscus cerefolium;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1536;derivation from photos or drawings;Sium latifolium;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1545;derivation from photos or drawings;Tordylium maximum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1552;derivation from photos or drawings;Torilis japonica;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1554;derivation from photos or drawings;Torilis nodosa;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1571;derivation from photos or drawings;Seseli hippomarathrum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1620;derivation from photos or drawings;Peucedanum carvifolia;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1621;derivation from photos or drawings;Peucedanum cervaria;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1643;derivation from photos or drawings;Pimpinella saxifraga;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1668;derivation from photos or drawings;Oenanthe silaifolia;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1705;derivation from photos or drawings;Laserpitium latifolium;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1858;derivation from photos or drawings;Carum verticillatum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1894;derivation from photos or drawings;Bupleurum rotundifolium;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1909;derivation from photos or drawings;Bupleurum falcatum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1916;derivation from photos or drawings;Anthriscus sylvestris;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1920;derivation from photos or drawings;Apium inundatum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1922;derivation from photos or drawings;Apium nodiflorum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1923;derivation from photos or drawings;Apium repens;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1925;derivation from photos or drawings;Astrantia major;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1938;derivation from photos or drawings;Berula erecta;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1939;derivation from photos or drawings;Bifora radians;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1975;derivation from photos or drawings;Anthriscus caucalis;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
1998;derivation from photos or drawings;Turgenia latifolia;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
2007;derivation from photos or drawings;Aegopodium podagraria;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
2032;derivation from photos or drawings;Smyrnium perfoliatum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
2070;derivation from photos or drawings;Peucedanum oreoselinum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
2071;derivation from photos or drawings;Peucedanum palustre;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
24666;derivation from photos or drawings;Lamiastrum galeobdolon;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
216;derivation from photos or drawings;Isoetes echinospora;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
229;derivation from photos or drawings;Isoetes lacustris;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
250;derivation from photos or drawings;Pteridium aquilinum;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
262;derivation from photos or drawings;Hymenophyllum tunbrigense;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
270;derivation from photos or drawings;Botrychium lunaria;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
273;derivation from photos or drawings;Botrychium multifidum;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
279;derivation from photos or drawings;Botrychium simplex;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
280;derivation from photos or drawings;Botrychium virginianum;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
283;derivation from photos or drawings;Ophioglossum vulgatum;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
295;derivation from photos or drawings;Osmunda regalis;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
299;derivation from photos or drawings;Thelypteris palustris;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
315;derivation from photos or drawings;Oreopteris limbosperma;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
326;derivation from photos or drawings;Polystichum lonchitis;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
337;derivation from photos or drawings;Polystichum aculeatum;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
342;derivation from photos or drawings;Dryopteris villarii;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
355;derivation from photos or drawings;Gymnocarpium dryopteris;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
359;derivation from photos or drawings;Gymnocarpium robertianum;no;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
370;derivation from photos or drawings;Polystichum braunii;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
377;derivation from photos or drawings;Dryopteris carthusiana;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
383;derivation from photos or drawings;Dryopteris cristata;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
387;derivation from photos or drawings;Dryopteris dilatata;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
393;derivation from photos or drawings;Dryopteris filix-mas;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
562;derivation from photos or drawings;Pseudotsuga menziesii;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
566;derivation from photos or drawings;Tsuga canadensis;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
578;derivation from photos or drawings;Pinus cembra;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
593;derivation from photos or drawings;Pinus nigra;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
623;derivation from photos or drawings;Pinus strobus;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
624;derivation from photos or drawings;Pinus sylvestris;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
639;derivation from photos or drawings;Abies nordmanniana;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
653;derivation from photos or drawings;Larix decidua;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
670;derivation from photos or drawings;Picea abies;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
686;derivation from photos or drawings;Picea omorika;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
689;derivation from photos or drawings;Picea pungens;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
697;derivation from photos or drawings;Abies alba;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
711;derivation from photos or drawings;Juniperus sabina;yes;1;BIOPOP April 2005;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband
